"title","authors","pages","date","article_url","issue_url"
"ON THE INTERRELATIONSHIP OF CERTAIN CHARACTERS IN MAN (MALES)","HENRY A. RUGER Ph.D.,","p. 59-104","January 1933","https://onlinelibrary.wiley.com/doi/10.1111/j.1469-1809.1933.tb02089.x","https://onlinelibrary.wiley.com/toc/20501439/1933/5/1-2"
"ON THE INHERITANCE OF DURATION OF LIFE AND CAUSE OF DEATH","BRENDA STOESSIGER M. Sc.,","p. 105-178","January 1933","https://onlinelibrary.wiley.com/doi/10.1111/j.1469-1809.1933.tb02090.x","https://onlinelibrary.wiley.com/toc/20501439/1933/5/1-2"
"TWO NEW PEDIGREES OF MUSCULAR DYSTROPHY","KARL PEARSON,","p. 179-191","January 1933","https://onlinelibrary.wiley.com/doi/10.1111/j.1469-1809.1933.tb02091.x","https://onlinelibrary.wiley.com/toc/20501439/1933/5/1-2"
"ON THE SPREAD OF SMALL-POX IN PARTIALLY VACCINATED COMMUNITIES","PERCY STOCKS M.D., D.P.H.,","p. 192-233","January 1933","https://onlinelibrary.wiley.com/doi/10.1111/j.1469-1809.1933.tb02092.x","https://onlinelibrary.wiley.com/toc/20501439/1933/5/1-2"
"Notices of Recent Books","","p. 234-236","January 1933","https://onlinelibrary.wiley.com/doi/10.1111/j.1469-1809.1933.tb02093.x","https://onlinelibrary.wiley.com/toc/20501439/1933/5/1-2"
"A CO-OPERATIVE STUDY OF THE HABITS, HOME LIFE, DIETARY AND FAMILY HISTORIES OF 450 CANCER PATIENTS AND OF AN EQUAL NUMBER OF CONTROL PATIENTS","PERCY STOCKS M.D., D.P.H.,, MARY N. KARN M.A.,","p. 237-280","October 1933","https://onlinelibrary.wiley.com/doi/10.1111/j.1469-1809.1933.tb02094.x","https://onlinelibrary.wiley.com/toc/20501439/1933/5/3-4"
"A STUDY IN INHERITED BRACHYDACTYLY","K. I. NISSEN M.B., Ch.B., N.Z.,","p. 281-301","October 1933","https://onlinelibrary.wiley.com/doi/10.1111/j.1469-1809.1933.tb02095.x","https://onlinelibrary.wiley.com/toc/20501439/1933/5/3-4"
"ON THE SPREAD OF SMALL-POX IN PARTIALLY VACCINATED COMMUNITIES","PERCY STOCKS M.D., D.P.H.,","p. 302-310","October 1933","https://onlinelibrary.wiley.com/doi/10.1111/j.1469-1809.1933.tb02096.x","https://onlinelibrary.wiley.com/toc/20501439/1933/5/3-4"
"ON THE INHERITANCE OF MIGRAINE: A PRELIMINARY NOTE","JULIA BELL,","p. 311-325","October 1933","https://onlinelibrary.wiley.com/doi/10.1111/j.1469-1809.1933.tb02097.x","https://onlinelibrary.wiley.com/toc/20501439/1933/5/3-4"
"THE LANARKSHIRE MILK EXPERIMENT","ETHEL M. ELDERTON D. Sc.,","p. 326-338","October 1933","https://onlinelibrary.wiley.com/doi/10.1111/j.1469-1809.1933.tb02098.x","https://onlinelibrary.wiley.com/toc/20501439/1933/5/3-4"
"MATHEMATISCHE BETRACHTUNGEN ZUR RASSENHYGIENE, INSBESONDERE ZUR STERILISATION","De EWALD BODEWIG,","p. 339-412","October 1933","https://onlinelibrary.wiley.com/doi/10.1111/j.1469-1809.1933.tb02099.x","https://onlinelibrary.wiley.com/toc/20501439/1933/5/3-4"
"MEMORANDUM ON DR BODEWIG'S PAPER","","p. 413","October 1933","https://onlinelibrary.wiley.com/doi/10.1111/j.1469-1809.1933.tb02100.x","https://onlinelibrary.wiley.com/toc/20501439/1933/5/3-4"
"Notices of Recent Books","","p. 414-415","October 1933","https://onlinelibrary.wiley.com/doi/10.1111/j.1469-1809.1933.tb02101.x","https://onlinelibrary.wiley.com/toc/20501439/1933/5/3-4"
"VALE!","","p. 416","October 1933","https://onlinelibrary.wiley.com/doi/10.1111/j.1469-1809.1933.tb02102.x","https://onlinelibrary.wiley.com/toc/20501439/1933/5/3-4"
"FOREWORD","","p. i","October 1934","https://onlinelibrary.wiley.com/doi/10.1111/j.1469-1809.1934.tb02103.x","https://onlinelibrary.wiley.com/toc/20501439/1934/6/1"
"AN INQUIRY INTO THE FAMILY INCIDENCE OF ACUTE RHEUMATISM","J. A. FRASER ROBERTS M.A., D.Sc,, W. A. R. THOMSON M.D.,","p. 3-12","October 1934","https://onlinelibrary.wiley.com/doi/10.1111/j.1469-1809.1934.tb02104.x","https://onlinelibrary.wiley.com/toc/20501439/1934/6/1"
"THE EFFECT OF METHODS OF ASCERTAINMENT UPON THE ESTIMATION OF FREQUENCIES","Prof. R. A. FISHER Sc.D., F.R.S.,","p. 13-25","October 1934","https://onlinelibrary.wiley.com/doi/10.1111/j.1469-1809.1934.tb02105.x","https://onlinelibrary.wiley.com/toc/20501439/1934/6/1"
"METHODS FOR THE DETECTION OF AUTOSOMAL LINKAGE IN MAN","J. B. S. HALDANE F.R.S.,","p. 26-65","October 1934","https://onlinelibrary.wiley.com/doi/10.1111/j.1469-1809.1934.tb02106.x","https://onlinelibrary.wiley.com/toc/20501439/1934/6/1"
"THE AMOUNT OF INFORMATION SUPPLIED BY RECORDS OF FAMILIES AS A FUNCTION OF THE LINKAGE IN THE POPULATION SAMPLED","R. A. FISHER Sc.D., F.R.S.,","p. 66-70","October 1934","https://onlinelibrary.wiley.com/doi/10.1111/j.1469-1809.1934.tb02107.x","https://onlinelibrary.wiley.com/toc/20501439/1934/6/1"
"THE USE OF SIMULTANEOUS ESTIMATION IN THE EVALUATION OF LINKAGE","R. A. FISHER Sc.D., F.R.S.,","p. 71-76","October 1934","https://onlinelibrary.wiley.com/doi/10.1111/j.1469-1809.1934.tb02108.x","https://onlinelibrary.wiley.com/toc/20501439/1934/6/1"
"A CALCULATION OF THE MINIMUM NUMBER OF GENES IN WINTER'S SELECTION EXPERIMENT; By“STUDENT”","","p. 77-82","October 1934","https://onlinelibrary.wiley.com/doi/10.1111/j.1469-1809.1934.tb02109.x","https://onlinelibrary.wiley.com/toc/20501439/1934/6/1"
"AN INVESTIGATION OF THE RECORDS OF HEIGHT AND WEIGHT TAKEN IN SCHOOL MEDICAL INSPECTIONS IN THE COUNTY BOROUGH OF CROYDON","M. N. KARN M.A.,","p. 83-107","October 1934","https://onlinelibrary.wiley.com/doi/10.1111/j.1469-1809.1934.tb02110.x","https://onlinelibrary.wiley.com/toc/20501439/1934/6/1"
"A METHOD OF SEPARATING THE RELATIVE AETIOLOGICAL EFFECTS OF BIRTH ORDER AND MATERNAL AGE, WITH SPECIAL REFERENCE TO MONGOLIAN IMBECILITY","L. S. PENROSE M.D.,","p. 108-127","October 1934","https://onlinelibrary.wiley.com/doi/10.1111/j.1469-1809.1934.tb02111.x","https://onlinelibrary.wiley.com/toc/20501439/1934/6/1"
"ENTGEGNUNG AUF DIE BEMERKUNGEN VON PROFESSOR PEARSON: (Vol. v, pp. 363, 413)","De EWALD BODEWIG,","p. 128","October 1934","https://onlinelibrary.wiley.com/doi/10.1111/j.1469-1809.1934.tb02112.x","https://onlinelibrary.wiley.com/toc/20501439/1934/6/1"
"DIE DEUTSCHE RASSENHYGIENISCHE GESETZGEBUNG IN MATHEMATISCHER BETRACHTUNG","Dr S. ROLLER,","p. 129-131","October 1934","https://onlinelibrary.wiley.com/doi/10.1111/j.1469-1809.1934.tb02113.x","https://onlinelibrary.wiley.com/toc/20501439/1934/6/1"
"THE DETECTION OF AUTOSOMAL LINKAGE IN DATA WHICH CONSIST OF PAIRS OF BROTHERS AND SISTERS OF UNSPECIFIED PARENTAGE","L. S. PENROSE M.D.,","p. 133-138","June 1935","https://onlinelibrary.wiley.com/doi/10.1111/j.1469-1809.1935.tb02224.x","https://onlinelibrary.wiley.com/toc/20501439/1935/6/2"
"BRITISH DEMOGRAPHERS' OPINIONS ON FERTILITY, 1660-1760","R. R. KUCZYNSKI,","p. 139-171","June 1935","https://onlinelibrary.wiley.com/doi/10.1111/j.1469-1809.1935.tb02225.x","https://onlinelibrary.wiley.com/toc/20501439/1935/6/2"
"THE INCIDENCE OF MENTAL DISORDER","ELIOT SLATER,","p. 172-186","June 1935","https://onlinelibrary.wiley.com/doi/10.1111/j.1469-1809.1935.tb02226.x","https://onlinelibrary.wiley.com/toc/20501439/1935/6/2"
"THE DETECTION OF LINKAGE WITH “DOMINANT” ABNORMALITIES","R. A. FISHER,","p. 187-201","June 1935","https://onlinelibrary.wiley.com/doi/10.1111/j.1469-1809.1935.tb02227.x","https://onlinelibrary.wiley.com/toc/20501439/1935/6/2"
"SOME EXAMPLES OF BIASED SAMPLING","F. YATES,","p. 202-213","June 1935","https://onlinelibrary.wiley.com/doi/10.1111/j.1469-1809.1935.tb02228.x","https://onlinelibrary.wiley.com/toc/20501439/1935/6/2"
"THE RECORDS OF HEIGHT AND WEIGHT TAKEN IN SCHOOL MEDICAL INSPECTIONS IN THE BOROUGH OF EALING","M. N. KARN,","p. 214-224","June 1935","https://onlinelibrary.wiley.com/doi/10.1111/j.1469-1809.1935.tb02229.x","https://onlinelibrary.wiley.com/toc/20501439/1935/6/2"
"THE INHERITANCE OF FERTILITY. DR WAGNER-MANSLAU'S TABLES: EDITORIAL NOTE","","p. 225-251","June 1935","https://onlinelibrary.wiley.com/doi/10.1111/j.1469-1809.1935.tb02230.x","https://onlinelibrary.wiley.com/toc/20501439/1935/6/2"
"Biomathematics. By W. M. Feldman, M.D., B.S., M.R.C.P. (Lond.), F.R.A.S., F.R.S. (Ed.). Second edition. Charles Griffin and Co. Ltd., 1935. Pp. viii + 480","R. A. FISHER,","p. 252","June 1935","https://onlinelibrary.wiley.com/doi/10.1111/j.1469-1809.1935.tb02231.x","https://onlinelibrary.wiley.com/toc/20501439/1935/6/2"
"Investigations Of The Heredity Of Psychoses And Mental Deficiency In Two North Swedish Parishes","TORSTEN SJÖOUGREN M.D.,","p. 253-315","December 1935","https://onlinelibrary.wiley.com/doi/10.1111/j.1469-1809.1935.tb02114.x","https://onlinelibrary.wiley.com/toc/20501439/1935/6/3"
"STUDIES ON A CHILD POPULATION: DEFINITION OF THE SAMPLE, METHOD OF ASCERTAINMENT, AND ANALYSIS OF THE RESULTS OF A GROUP INTELLIGENCE TEST","J. A. FRASER ROBERTS M.A., D.Sc.,, R. M. NORMAN M.D., D.P.M.,, RUTH GRIFFITHS M.A., Ph.D.,","p. 319-338","December 1935","https://onlinelibrary.wiley.com/doi/10.1111/j.1469-1809.1935.tb02115.x","https://onlinelibrary.wiley.com/toc/20501439/1935/6/4"
"THE DETECTION OF LINKAGE WITH RECESSIVE ABNORMALITIES","R. A. FISHER Sc.D., F.R.S.,","p. 339-351","December 1935","https://onlinelibrary.wiley.com/doi/10.1111/j.1469-1809.1935.tb02116.x","https://onlinelibrary.wiley.com/toc/20501439/1935/6/4"
"THE SECULAR VARIATIONS OF SKULL CHARACTERS IN FOUR SERIES OF EGYPTIAN SKULLS","M. M. BARNARD M.A., B.Sc.,","p. 352-371","December 1935","https://onlinelibrary.wiley.com/doi/10.1111/j.1469-1809.1935.tb02117.x","https://onlinelibrary.wiley.com/toc/20501439/1935/6/4"
