Year,Volume,Issue,Title,Author(s),Author Title,,Notes
1928,3,1-2,"ON THE RELATIVE VALUE OF THE FACTORS WHICH INFLUENCE INFANT WELFARE … BASED ON DATA PROVIDED BY DR A. G. ANDERSON, (M.O.H. ROCHDALE), DR WM. ARNOLD EVANS, (M.O.H. BRADFORD), DR ALFRED GREENWOOD, (M.O.H. BLACKBURN), DR H. O. PILKINGTON, (M.O.H. PRESTON) AND DR C. H. TATTERSALL, (M.O.H. SALFORD). PART III.",Ethel M. Elderton,,,
1928,3,1-2,INFLUENCE OF AGE AND ENVIRONMENT ON PARENTAL HABITS AND HEALTH,Ethel M. Elderton,,,
1928,3,1-2,INFANT MORTALITY IN THE METROPOLITAN BOROUGHS IN RELATION TO OCCUPATIONS,Percy Stocks,"M.D., D.P.H.",,
1928,3,3-4,"THE PROBLEM OF ALIEN IMMIGRATION INTO GREAT BRITAIN, ILLUSTRATED BY AN EXAMINATION OF RUSSIAN AND POLISH JEWISH CHILDREN.  PART III.","Karl Pearson;
Margaret Moul",,,
1928,3,3-4,HEREDITARY BRACHYDACTYLISM AND INTERPHALANGEAL ANKYLOSIS,G. A. M. Hall,M.D.,,
1928,3,3-4,THE AGE OF ONSET IN HEREDITARY OPTIC ATROPHY,Julia Bell,M.R.C.P.,,
1928,3,3-4,ON THE GROWTH CURVES OF CERTAIN CHARACTERS IN WOMEN AND THE INTERRELATIONSHIP OF THESE CHARACTERS,"Ethel M. Elderton;
Margaret Moul;
E. Mary Page",,,
1928,3,3-4,STUDIES OF PALAEOLITHIC MAN. III. THE RHODESIAN SKULL AND ITS RELATIONS TO NEANDERTHALOID AND MODERN TYPES.,G. M. Morant,D.Sc,,
1928,3,3-4,A STUDY OF THE EPIDEMIOLOGY OF MEASLES,"Percy Stocks;
Mary N. Karn","M.D.;
M.A.",,
1930,4,1-2,ON A NEW THEORY OF PROGRESSIVE EVOLUTION,Karl Pearson,F.R.S.,,
1930,4,1-2,SOME NEW PEDIGREES OF HEREDITARY DISEASE: A. POLYDACTYLISM AND SYNDACTYLISM.: B. BLUE SCLEROTICA AND FRAGILITY OF BONE,Julia Bell,"M.A., M.R.C.P.",,
1930,4,1-2,A BIOMETRIC INVESTIGATION OF TWINS AND THEIR BROTHERS AND SISTERS,Percy Stocks,"M.D., D.P.H.",,
1930,4,1-2,STUDIES OF PALAEOLITHIC MAN. IV. A BIOMETRIC STUDY OF THE UPPER PALAEOLITHIC SKULLS OF EUROPE AND OF THEIR RELATIONSHIPS TO EARLIER AND LATER TYPES,G. M. Morant,D.Sc,,
1930,4,1-2,TWO PEDIGREES OF RETINITIS PIGMENTOSA: I. A PEDIGREE OF RETINITIS PIGMENTOSA,C. H. Usher,"M.B., B. Chib., F.R.C.S.",,
1930,4,1-2,NOTE ON THE BLOOD-RELATIONSHIP OF DOUBLE COUSINS,Karl Pearson,P.R.S.,,
1931,4,3-4,THREE FURTHER CASES OF HEREDITARY DIGITAL ANOMALY SEEN IN THE OUT-PATIENT DEPARTMENT OF GREAT ORMOND STREET HOSPITAL FOR SICK CHILDREN,Julia Bell,"M.A., M.R.C.P.",,
1931,4,3-4,HUMAN FERTILITY IN RELATION TO AGES OF HUSBAND AND WIFE AT MARRIAGE AND DURATION OF MARRIAGE,J. H. Muller,"M. Sc, Ph.D.",,
1931,4,3-4,AN INQUIRY INTO VARIOUS DEATH-RATES AND THE COMPARATIVE INFLUENCE OF CERTAIN DISEASES ON THE DURATION OF LIFE,M. Noel Karn,M.A.,,
1931,4,3-4,PART II. APPLICATION OF THE THEORY DEVELOPED BY MATHEMATICIANS OF THE EIGHTEENTH CENTURY TO MODERN DATA,,,,
1931,4,3-4,A BIOMETRIC STUDY OF THE WEIGHTS OF INFANTS DURING FIRST DAYS OF LIFE,W. J. Martin,,,
1931,4,3-4,"ON THE EXISTENCE OF THE DIGITAL DEFORMITY—SO-CALLED ""LOBSTER CLAW""—IN THE APES",Karl Pearson,F.R.S.,,
1931,4,3-4,THE DISTRIBUTION OF CANCER AND TUBERCULOSIS MORTALITY IN ENGLAND AND WALES,Percy Stocks,"M.D., D.P.H.",,
1931,4,3-4,ON THE INHERITANCE OF MENTAL DISEASE,Karl Pearson,F.R.S.,,
1933,5,1-2,"""LECTURES ON THE PHYSIOLOGY, ZOOLOGY AND NATURAL HISTORY OF MAN,"" 1822",,,,
1933,5,1-2,A BIOMETRIC INVESTIGATION OF TWINS AND THEIR BROTHERS AND SISTERS. PART II.,Percy Stocks,"M.D., D.P.H.",,
1933,5,1-2,A PEDIGREE SHOWING MENTAL DEFECT IN FOUR GENERATIONS,C. H. Usher,"M.B., B. Chir.",,
1933,5,1-2,ON THE INTERRELATIONSHIP OF CERTAIN CHARACTERS IN MAN (MALES),Henry A. Ruger,Ph.D.,,
1933,5,1-2,ON THE INHERITANCE OF DURATION OF LIFE AND CAUSE OF DEATH,Brenda Stoessiger,M.Sc,,
1933,5,1-2,TWO PEDIGREES OF MUSCULAR DYSTROPHY,Karl Pearson,,,
1933,5,1-2,"ON THE SPREAD OF SMALL-POX IN PARTIALLY VACCINATED COMMUNITIES. PART I. THE STEPNEY EPIDEMIC OF VARIOLA MINOR, 1929-30.",Percy Stocks,"M.D., D.P.H.",,
1933,5,3-4,"A CO-OPERATIVE STUDY OF THE HABITS, HOME LIFE, DIETARY AND FAMILY HISTORIES OF 450 CANCER PATIENTS AND OF AN EQUAL NUMBER OF CONTROL PATIENTS","Percy Stocks;
Mary N. Karn","M.D., D.P.H.;
M.A.",,
1933,5,3-4,A STUDY IN INHERITED BRACHYDACTYLY,K. I. Nissen,"M.B., Ch.B., N.Z.",,
1933,5,3-4,"ON THE SPREAD OF SMALL-POX IN PARTIALLY VACCINATED COMMUNITIES. PART II. VARIOLA MINOR IN DURHAM AND NEIGHBOURING COUNTIES, 1922-31.",Percy Stocks,"M.D., D.P.H.",,
1933,5,3-4,ON THE INHERITANCE OF MIGRAINE: A PRELIMINARY NOTE,Julia Bell,,,
1933,5,3-4,THE LANARKSHIRE MILK EXPERIMENT,Ethel M. Elderton,D.Sc,,
1933,5,3-4,MEMORANDUM ON DR BODEWIG'S PAPER,,,,
1934,6,1,AN INQUIRY INTO THE FAMILY INCIDENCE OF ACUTE RHEUMATISM,"J. A. Fraser Roberts;
W. A. R. Thomson","M.A., D.Sc;
M.D.",,
1934,6,1,THE EFFECT OF METHODS OF ASCERTAINMENT UPON THE ESTIMATION OF FREQUENCIES,R. A. Fisher,"Sc.D, F.R.S.",,
1934,6,1,METHODS FOR THE DETECTION OF AUTOSOMAL LINKAGE IN MAN,J. B. S. Haldane,F.R.S.,,
1934,6,1,THE AMOUNT OF INFORMATION SUPPLIED BY RECORDS OF FAMILIES AS A FUNCTION OF THE LINKAGE IN THE POPULATION SAMPLED,R. A. Fisher,"Sc.D, F.R.S.",,
1934,6,1,THE USE OF SIMULTANEOUS ESTIMATION IN THE EVALUATION OF LINKAGE,R. A. Fisher,"Sc.D, F.R.S.",,
1934,6,1,A CALCULATION OF THE MINIMUM NUMBER OF GENES IN WINTER'S SELECTION EXPERIMENT; By“STUDENT”,,,,
1934,6,1,AN INVESTIGATION OF THE RECORDS OF HEIGHT AND WEIGHT TAKEN IN SCHOOL MEDICAL INSPECTIONS IN THE COUNTY BOROUGH OF CROYDON,M. N. Karn,M.A.,,
1934,6,1,"A METHOD OF SEPARATING THE RELATIVE AETIOLOGICAL EFFECTS OF BIRTH ORDER AND MATERNAL AGE, WITH SPECIAL REFERENCE TO MONGOLIAN IMBECILITY",L. S. Penrose,M.D.,,
1935,6,2,THE DETECTION OF AUTOSOMAL LINKAGE IN DATA WHICH CONSIST OF PAIRS OF BROTHERS AND SISTERS OF UNSPECIFIED PARENTAGE,L. S. Penrose,M.D.,,
1935,6,2,"BRITISH DEMOGRAPHERS' OPINIONS ON FERTILITY, 1660-1760",R. R. Kuczynski,,,
1935,6,2,THE INCIDENCE OF MENTAL DISORDER,Eliot Slater,,,
1935,6,2,THE DETECTION OF LINKAGE WITH “DOMINANT” ABNORMALITIES,R. A. Fisher,,,
1935,6,2,SOME EXAMPLES OF BIASED SAMPLING,F. Yates,,,
1935,6,2,THE RECORDS OF HEIGHT AND WEIGHT TAKEN IN SCHOOL MEDICAL INSPECTIONS IN THE BOROUGH OF EALING,M. N. Karn,,,
1935,6,2,THE INHERITANCE OF FERTILITY. DR WAGNER-MANSLAU'S TABLES: EDITORIAL NOTE,,,,
1935,6,3,INVESTIGATIONS OF THE HEREDITY OF PSYCHOSES AND MENTAL DEFICIENCY IN TWO NORTH SWEDISH PARISHES,Torsten Sjoougren,M.D.,,
1935,6,4,"STUDIES ON A CHILD POPULATION: DEFINITION OF THE SAMPLE, METHOD OF ASCERTAINMENT, AND ANALYSIS OF THE RESULTS OF A GROUP INTELLIGENCE TEST","J. A. Fraser Roberts;
R. M. Norman;
Ruth Griffiths","M.A., D.Sc;
M.D., D.P.M.;
M.A., Ph.D",,
1935,6,4,THE DETECTION OF LINKAGE WITH RECESSIVE ABNORMALITIES,R. A. Fisher,"Sc.D, F.R.S.",,
1935,6,4,THE SECULAR VARIATIONS OF SKULL CHARACTERS IN FOUR SERIES OF EGYPTIAN SKULLS,M. M. Barnard,"M.A., B.Sc",,
1935,6,4,A NOTE ON THE SPECIFIC GRAVITY OF THE LIVING HUMAN BODY,Frank Sandon,M.A.,,
1935,6,4,THE RECORDS OF HEIGHT AND WEIGHT TAKEN IN SCHOOL MEDICAL INSPECTIONS IN THE BOROUGH OF EALING (CONTINUED),M. N. Karn,M.A.,,
1935,6,4,THE FIDUCIAL ARGUMENT IN STATISTICAL INFERENCE,R. A. Fisher,"Sc.D, F.R.S.",,
1935,6,4,THE COMBINATION OF DATA,K. Mather,Ph.D.,,
1936,7,1,AUTOSOMAL MUTATION AND MODIFICATION IN MAN WITH SPECIAL REFERENCE TO MENTAL DEFECT,L. S. Penrose,M.D.,,
1936,7,1,HETEROGENEITY OF LINKAGE DATA FOR FRIEDREICH'S ATAXIA AND THE SPONTANEOUS ANTIGENS,R. A. Fisher,"Sc.D, F.R.S.",,
1936,7,1,HOMOGAMY AND THE INTERCORRELATION OF CAPACITY TRAITS,Bronson Price,Ph.D.,,
1936,7,1,A SEARCH FOR INCOMPLETE SEX-LINKAGE IN MAN,J. B. S. Haldane,F.R.S.,,
1936,7,1,A CASE OF APPARENT DISSIMILARITY OF MONOZYGOTIC TWINS,Aubrey Lewis,"M.D., M.R.C.P.",,
1936,7,1,SELECTION BY A NEARLY PERFECT EXAMINATION,Frank Sandon,M.A.,,
1936,7,1,BRITISH NATIONAL HUMAN HEREDITY COMMITTEE,,,,
1936,7,2,TESTS OF SIGNIFICANCE APPLIED TO HALDANE'S DATA ON PARTIAL SEX LINKAGE,R. A. Fisher,"Sc.D, F.R.S.",,
1936,7,2,THE STANDARD DEVIATION OF A DIFFERENCE,L. McMullen,,,
1936,7,2,"AN ANALYSIS OF THE RECORDS OF THE PHYSIQUE OF SCHOOL CHILDREN IN A THIRD BOROUGH (WILLESDEN), COMPARED WITH THOSE OF TWO BOROUGHS PREVIOUSLY EXAMINED, AND OF SOME DIFFERENCES OF PHYSIQUE WITHIN THE BOROUGH",M. N. Karn,M.A.,,
1936,7,2,INCOMPLETE RANDOMIZED BLOCKS,F. Yates,M.A.,,
1936,7,2,THE INHERITANCE OF ALLERGIC DISEASE,"Alexander S. Wiener;
I. Zieve;
Joseph H. Fries","A.B., M.D.;
M.A.;
A.B., M.D.",,
1936,7,2,"ON THE LINKAGE RELATIONS OF THE GENES FOR ALLERGIC DISEASE AND THE GENES DETERMINING THE BLOOD GROUPS, MN TYPES AND EYE COLOUR IN MAN","I. Zieve;
Alexander S. Wiener;
Joseph H. Fries","M.A.;
A.B., M.D.;
A.B., M.D.",,
1936,7,2,THE USE OF MULTIPLE MEASUREMENTS IN TAXONOMIC PROBLEMS,R. A. Fisher,"Sc.D, F.R.S.",,
1936,7,2,A TEST OF THE SUPPOSED PRECISION OF SYSTEMATIC ARRANGEMENTS,"Dr S. Barbacki;
R. A. Fisher","N/A;
Sc.D., F.R.S.",,
1936,7,3,CHANGES IN THE MEAN VALUES OF CHARACTERS IN MIXED POPULATIONS,V. V. Bunak,,,
1936,7,3,"THE X2 DISTRIBUTION FOR THE BINOMIAL AND POISSON SERIES, WITH SMALL EXPECTATIONS",W. G. Cochran,B.A.,,
1936,7,3,"POST-NATAL DEVELOPMENT OF HAIR AND EYE COLOUR, WITH SPECIAL REFERENCE TO SOME ETHNOLOGICAL PROBLEMS","M. A. MacConaill;
F. L. Ralphs","M.B., M.Sc;
Ph.D.",,
1936,7,3,"COMPARISON OF THE MEAN PHYSIQUE IN THE SCHOOLS OF THREE SUBURBAN BOROUGHS, AND OF THE VARIANCE OF PHYSIQUE WITHIN THE SCHOOLS",M. N. Karn,M.A.,,
1936,7,3,A DISCRIMINANT FUNCTION FOR PLANT SELECTION,H. Fairfield Smith,M.S.A.,,
1936,7,3,TYPES OF LINKAGE DATA AND THEIR VALUE,K. Mather,Ph.D.,,
1936,7,3,A LINKAGE TEST WITH MICE,"R. A. Fisher;
K. Mather","Sc.D, F.R.S.;
Ph.D.",,
1936,7,3,"A CASE OF HEREDITARY ANARTHROSIS OF THE INDEX FINGER, WITH ASSOCIATED ABNORMALITIES IN THE PROPORTIONS OF THE FINGERS",G. H. Daniel,,,
1937,7,4,NOTE ON THE DEVELOPMENT OF CORRELATIONS AMONG GENETIC COMPONENTS OF ABILITY,M. S. Bartlett,M.A.,,
1937,7,4,PROFESSOR KARL PEARSON AND THE METHOD OF MOMENTS,R. A. Fisher,"Sc.D, F.R.S.",,
1937,7,4,A FURTHER NOTE ON THE ARRANGEMENT OF VARIETY TRIALS: QUASI-LATIN SQUARES,F. Yates,M.A.,,
1937,7,4,THE COMPARISON OF VARIABILITY IN POPULATIONS HAVING UNEQUAL MEANS. AN EXAMPLE OF THE ANALYSIS OF COVARIANCE WITH MULTIPLE DEPENDENT AND INDEPENDENT VARIATES,"B. Day;
R. A. Fisher","N/A;
Sc.D., F.R.S.",,
1937,7,4,USE OF SCORES IN AN EXACT TEST OF SIGNIFICANCE IN A DISCONTINUOUS DISTRIBUTION,H. W. Norton III,,,
1937,7,4,THE WAVE OF ADVANCE OF ADVANTAGEOUS GENES,R. A. Fisher,"Sc.D, F.R.S.",,
1937,7,4,ON A POINT RAISED BY M. S. BARTLETT ON FIDUCIAL PROBABILITY,R. A. Fisher,"Sc.D, F.R.S.",,
1937,7,4,SUMMARY OF RESULTS OF INVESTIGATIONS INTO THE HEIGHT AND WEIGHT OF CHILDREN OF THE BRITISH WORKING CLASSES DURING THE LAST HUNDRED YEARS,M. N. Karn,M.A.,,
1937,8,1,"W. F. SHEPPARD, F.R.S.E., Sc.D., LL.M.
PERSONAL HISTORY",N. F. Sheppard,,,
1937,8,1,"STUDIES ON A CHILD POPULATION: II. RETESTS ON THE ADVANCED OTIS AND STANFORD-BINET SCALES, WITH NOTES ON THE USE OF A SHORTENED BINET SCALE","J. A. Fraser Roberts;
Ruth Griffiths","M.A., M.B., D.Sc.;
M.A., Ph.D.",,
1937,8,1,"SEXUAL AND RACIAL VARIATIONS IN ABILITY TO TASTE PHENYL-THIO-CARBAMIDE, WITH SOME DATA ON THE INHERITANCE","William C. Boyd;
Lyle G. Boyd",,,
1937,8,1,TESTS OF SIGNIFICANCE FOR SAMPLES OF THE x2-POPULATION WITH TWO DEGREES OF FREEDOM,P. V. Sukhatme,"B.Sc., Ph.D.",,
1937,8,1,SIGNIFICANCE OF GROUPING,W. L. Stevens,,,
1937,8,1,A TEST FOR UNIOVULAR TWINS IN MICE,W. L. Stevens,,,
1937,8,1,INHERITANCE IN MAN: BOAS'S DATA STUDIED BY THE METHOD OF ANALYSIS OF VARIANCE,"R. A. Fisher;
H. Gray ","Sc.D, F.R.S.;
M.D.",,
1937,8,1,THE TEST OF SIGNIFICANCE FOR MENDELIAN RATIOS WHEN CLASSIFICATION IS UNCERTAIN,H. Fairfield Smith,,,
1937,8,1,THE ANALYSIS OF SINGLE-FACTOR SEGREGATIONS,K. Mather,,,
1938,8,2,A NOTE ON THE IMPORTANCE OF DIFFERENCES BETWEEN EXAMINERS IN THE ESTIMATION OF THE ABILITY OF STUDENTS,"J. B. Hutchinson;
B. M. Pugh",,,
1938,8,2,THE STATURE OF MALE SCHOOLCHILDREN IN RELATION TO HAIR AND EYE COLOUR,M. A. MacConaill,"M.B., M.Sc",,
1938,8,2,THE SEX INCIDENCE OF CERTAIN HEREDITARY TRAITS IN MAN,"L. Csik;
K. Mather",,,
1938,8,2,"MAXIMUM LIKELIHOOD, INVERSE PROBABILITY AND THE METHOD OF MOMENTS",Haroly Jeffreys,,,
1938,8,2,BLOOD GROUPS AND GENETICS,V. Friedenreich,,,
1938,8,2,FAMILIAL MYOCLONUS EPILEPSY ASSOCIATED WITH DEAF-MUTISM IN A FAMILY SHOWING OTHER PSYCHOBIOLOGICAL ABNORMALITIES,"A. D. Latham;
T. A. Munro","M.A., M.B.;
M.B., D.Psych., M.R.C.P.Ed",,
1938,8,2,NOTE ON THE DISTRIBUTION OF THE THREE FORMS OF LYTHRUM SALICARIA,Donald McGregor,,,
1938,8,2,STUDIES ON A CHILD POPULATION: III. INTELLIGENCE AND FAMILY SIZE,"J. A. Fraser Roberts;
M. Norman;
Ruth Griffiths","M.A., M.B., D.Sc, R.M.;
M.D., D.P.M.;
M.A., Ph.D",,
1938,8,3,THE GENETIC INTERPRETATION OF STUDIES ON CANCER IN TWINS,P. A. Gorer,,,
1938,8,3,GENETIC LINKAGE IN GRADED HUMAN CHARACTERS,L. S. Penrose,,,
1938,8,3,THE DISTRIBUTION OF ENTRIES IN A CONTINGENCY TABLE WITH FIXED MARGINAL TOTALS,W. L. Stevens,,,
1938,8,3,A SEARCH FOR AUTOSOMAL RECESSIVE LETHALS IN MAN,"Sarah Bedichek;
J. B. S. Haldane",,,
1938,8,3,THE ESTIMATION OF THE FREQUENCIES OF RECESSIVE CONDITIONS IN MAN,J. B. S. Haldane,,,
1938,8,3,A HITHERTO UNEXPECTED COMPLICATION IN THE GENETICS OF HUMAN RECESSIVES,J. B. S. Haldane,,,
1938,8,3,A PSYCHOMETRIC SOCIOLOGICAL STUDY OF A GROUP OF SPECIALITY SALESMEN,"Noel Wallace;
R. M. W. Travers",,,
1938,8,4,THE ELIMINATION OF THE INFLUENCE OF REPETITION ON THE SCORE OF A PSYCHOLOGICAL TEST,R. M. W. Travers,,,
1938,8,4,STUDIES ON A CHILD POPULATION: IV. THE FORM OF THE LOWER END OF THE FREQUENCY DISTRIBUTION OF STANFORD-BINET INTELLIGENCE QUOTIENTS AND THE FALL OF LOW INTELLIGENCE QUOTIENTS WITH ADVANCING AGE,"J. A. Fraser Roberts;
R. M. Norman;
Ruth Griffiths","M.A., D.Sc;
M.D., D.P.M.;
M.A., Ph.D",,
1938,8,4,THREE NOMOGRAMS FOR TESTING AGREEMENT OF BLOOD GROUPING DATA WITH THEORIES OF INHERITANCE,William C. Boyd,,,
1938,8,4,BLOOD GROUPS IN ENGLAND: I. EXAMINATION OF FAMILY AND UNRELATED MATERIAL,"G. L. Taylor;
Aileen M. Prior",,,
1938,8,4,BLOOD GROUPS IN ENGLAND: II. DISTRIBUTION IN THE POPULATION,"G. L. Taylor;
Aileen M. Prior",,,
1938,8,4,ESTIMATION OF BLOOD-GROUP GENE FREQUENCIES,W. L. Stevens,,,
1938,8,4,THE STATISTICAL UTILIZATION OF MULTIPLE MEASUREMENTS,R. A. Fisher,,,
1938,8,4,INTEGRATION AND INTERPOLATION,W. L. Stevens,,,
1938,8,4,OPTIMUM ESTIMATION OF FREQUENCY OF HETEROZYGOTES,H. W. Norton,,,
